Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1961","1961","m3","8781144","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1962","1962","m3","8867115","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1963","1963","m3","8953928","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1964","1964","m3","9041590","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1965","1965","m3","9130111","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1966","1966","m3","9219499","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1967","1967","m3","9309761","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1968","1968","m3","9400907","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1969","1969","m3","9492946","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1970","1970","m3","9585886","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1971","1971","m3","9651671","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1972","1972","m3","9712462","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1973","1973","m3","9763943","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1974","1974","m3","9851033","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1975","1975","m3","9966246","I","Imputed value",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1627","Wood fuel, coniferous","1976","1976","m3","10061316","I","Imputed value",""
