Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2014","2014","m3","12754000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2015","2015","m3","12815000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2016","2016","m3","16017000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2017","2017","m3","17602000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2018","2018","m3","15374000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2019","2019","m3","13264000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2020","2020","m3","15118000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2021","2021","m3","15724000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1602","Pulpwood, round and split, coniferous (production)","2022","2022","m3","17354000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2014","2014","m3","59245000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2015","2015","m3","64013000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2016","2016","m3","69136000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2017","2017","m3","69590000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2018","2018","m3","77343000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2019","2019","m3","66291000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2020","2020","m3","72626000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2021","2021","m3","73387000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5516","Production","1603","Pulpwood, round and split, non-coniferous (production)","2022","2022","m3","82337000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5510","Production","1685","Mechanical and semi-chemical wood pulp","2017","2017","t","561000","A","Official figure",""
"FO","Forestry Production and Trade","076","Brazil","5610","Import Quantity","1685","Mechanical and semi-chemical wood pulp","2017","2017","t","2399","X","Figure from international organizations",""
