,Ano,China,Pulp for paper,United States,e_commerce,populacao_mundial
0,2000,1211331651866.09,183495612.0,10250952000000.0,27415.0,6.122272219
1,2001,1339400897105.11,175437164.0,10581929000000.0,34120.0,6.204147605
2,2002,1470557654799.95,180032179.0,10929108000000.0,44420.0,6.285827078
3,2003,1660280543846.79,182754605.0,11456450000000.0,56932.0,6.367038587
4,2004,1955346768721.39,187675841.0,12217196000000.0,72353.0,6.448393507
5,2005,2285961149879.85,188605215.0,13039197000000.0,91051.0,6.530064613
6,2006,2752118657184.02,190339857.0,13815583000000.0,112764.0,6.612347932
7,2007,3550327802998.4,196160077.0,14474228000000.0,135877.0,6.69468174
8,2015,11061572618578.7,183941642.0,18295019000000.0,337283.0,7.380789556
9,2016,11233313730348.7,186746584.0,18804913000000.0,383482.0,7.467447875
10,2017,12310491333980.9,188357570.0,19612102000000.0,442355.0,7.55355767
11,2018,13894907857880.6,196475972.0,20656516000000.0,506705.0,7.637603575
12,2019,14279968506271.7,192914872.0,21521395000000.0,569424.0,7.719133764
13,2020,14687744162801.0,191470468.0,21322950000000.0,807100.0,7.797688023
14,2021,17820459508852.2,196740299.0,23594031000000.0,950543.0,7.865476312
15,2022,17881783387000.9,198570620.0,25744108000000.0,1012215.0,7.928409155
