"","Area","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1","Türkiye",52600,82900,84700,90600,92000,94300,94700,99700,97200,112800,211300,265900,335300,289000,261300,260500,285500,213800,345500,372100,390500,396400,434500,514000,526700,557700,551400,554500,566800,506600,477600,576552,502871,546200,741600,611752,618400,695000,652000,692000,592000,644419,644419,644419,751337,611337,705123,708650,726047,745959,895307,955200,1026421,1053096,1122329,1253420,1335800,1376713,1427505,1479878,1366521,1680611
"2","Côte d'Ivoire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,252,200,200,400,100,100,0,0,0,0,0,327,327,327,327,2558,2428,2836,2760,2655,1914,1397,1921,2653,5199,2951,5396,6765,7012,8410
"3","Réunion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,157,181,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
"4","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,337,337,337,337,465,465,783,765,471,471,471,32,67,135,180,153,325,285,206,131,272,26,118,624,211,211,3413
"5","Africa",285300,373700,532000,616800,633900,678200,706000,605300,598100,641100,621800,665800,766000,801200,831773,821500,883700,859700,945800,1187100,1389300,1312400,1451000,1189500,1195700,1160300,1172304,1171081,1938000,1922404,1949004,1926074,1778081,1308280,1800677,1700462,2125166,2152248,1971092,2077233,2150373,2249000,2049557,2241460,2172911,2171985,2447750,2571183,1874268.5,2053271,1998106.53,2136270,2567490.3,2224679.3,2217208,2207216,2133412,2109704,2005592,1670898,1885869.46,1825883.63
"6","Albania",0,0,0,0,0,7000,8400,8600,8600,8500,8500,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,15900,15900,15900,15900,15900,18900,19900,19900,19900,20487,19894,4294,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4773,441,426,456,4426,4426,0,34,23,1794,48,28
"7","Algeria",24500,11500,13300,13000,14200,12500,14000,16100,17200,18300,18300,20300,29000,29000,29000,42900,42900,45000,57100,73600,65600,53400,79600,71000,91700,77200,57900,72700,91000,92000,79600,69972,75056,78400,59770,84170,50000,51000,43700,17900,10600,19000,15620,19340,19340,6363,18308,20540,34508,42329,46460,50297,48542,54617,68902,71762,88850,77812,109782,104590,104590,129418
"8","American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Americas",33360500,34765700,37152200,40347400,42552400,46602000,46815000,49006900,51830600,51320200,52095500,55538000,58012900,58752200,49791400,56199600,57840500,60707500,62933100,64019308,65270216,61120508,64514908,69579308,67580100,71004558,74825416,76000108,76941600,77564953,78486220,77636983,77144412,85630397,81228977,79406697,81056645,79925652,79933696,81521877,75793657,76182045,77140083,78367970,78677924,75960458,77241929,73033543,64452653,67629426.1,65722917.08,64825238.35,64191339.52,65291119.5,64398838,64405041,64005097,68395353,65143013,63412737,65171004.41,62415161.49
"10","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,452,453,453,461
"11","Angola",0,14600,21000,25500,24900,27000,26000,2900,4700,4600,3000,6200,9700,18400,37000,37000,37000,37000,37000,37000,37000,37000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,-225,-247,-425,-414,-414,-414,-408,-394,-394,-94,759,-236,1922,462,2587,3240,7107,8258,93,2616,7407,10964,11876,16936,17004.15,11542
"12","Argentina",135000,120000,130000,136000,152000,165700,121700,298700,312000,368400,393000,411000,440000,452600,396900,410100,405700,432500,560800,454300,415500,515700,589300,653000,617400,724900,716600,697900,698500,625400,560400,672891,663900,687800,756700,699300,880200,667050,599900,650500,640200,680407,749094,851858,845698,803620,843610,917938,806356,826186,692037.58,827003,809221,891506,866908,806066,823758,852798,833796,826458,752619,804779
"13","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,24,0,23,93,61,80,239,-4,50,137,663,751,403,116,-16,7,22,35,43,15,19
"14","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
"15","Asia",6597200,6895300,7913300,8246900,8603500,9499800,10242900,11569140,12601200,13996000,14129700,14610400,15870900,16024500,14580200,15788268,16245202,17625100,19135609,19413309,18093909,18228909,20202400,21343500,24768600,26597792,30367742,32816228,33256187,33665385,35636285,37510593,39994949,44284006,49516074,40363355,44919557,43168736,44276538,45062227,45104885,46822361,48181985,51552816,52347637,53785988,56875231,58454457,56797926,58923579,63293672,62720975.3,61524037,64227358.55,65221774,66596668,69608334,72068919,73938100,76591896,78590244.46,81690128.96
"16","Australia",378100,389900,471600,522100,586100,356900,381300,619800,693600,803800,793700,756900,813400,953300,862600,782900,851900,832300,931900,974800,984800,1004700,964900,1064500,1094400,1146900,1194300,1291700,1310900,1308500,1235000,1231645,1239423,1227700,1206900,1145400,1150900,1123000,1169000,1319900,1472400,1700900,1494000,1471100,1525100,1487505,1559762,1842450,1484230,1524283,1638165,1683332,1699655,1720199,1700977,1665295,1675695,1832896,1808920,1678927,1645912.53,1763141
"17","Australia and New Zealand",659100,699500,847600,924800,1003600,793500,862300,1029700,1187600,1302700,1291000,1260400,1499500,1625200,1490500,1519000,1490000,1503200,1515000,1630000,1680700,1737000,1543200,1688900,1812800,1767500,1836000,2032000,2013200,1931700,1946100,1903507,1924011,1937100,1993000,1837000,1983100,1848000,2026100,2188200,2199400,2489900,2246000,2210987,2296061,2142625,2250014,2620283,2141610,2306808,2460051,2428395,2260973,2385030,2289445,2269460,2146613,2427238,2124331,2136582,2053880.12,2245820
"18","Austria",605400,573800,597200,633800,651100,658500,681300,643400,717100,777200,799700,864300,960700,1013200,899200,939300,1049300,1012700,1063200,1092200,1071000,1073200,1072200,1135200,1222400,1237900,1291900,1429900,1537200,1527600,1628700,1654037,1654271,1812000,1773700,1677700,1761300,1818600,1741000,1850000,1711000,1812650,1873000,2113434,2094045,2146800,2078989,2117648,1834280,1958636,1979725,2080099,1917291,1993792,1918409,2115650,2039406,1956270,1925844,1823988,1888234,1781165
"19","Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,-200,0,0,20,10,10,14,57,25,21,24,71,100,148,194,372,372,1235,258,157,120,206,50,100,500
