,Ano,População (bilhões de pessoas)
0,1961,3072470012
1,1962,3126894230
2,1963,3193470069
3,1964,3260479625
4,1965,3328242834
5,1966,3398509802
6,1967,3468395137
7,1968,3540185668
8,1969,3614592846
9,1970,3690229198
10,1971,3767950635
11,1972,3843630361
12,1973,3920044841
13,1974,3995920225
14,1975,4070060140
15,1976,4143135434
16,1977,4215876682
17,1978,4289852068
18,1979,4365802882
19,1980,4442416674
20,1981,4520993169
21,1982,4602785312
22,1983,4684967631
23,1984,4766740755
24,1985,4850182355
25,1986,4936116651
26,1987,5024401475
27,1988,5113495865
28,1989,5202686551
29,1990,5293498452
30,1991,5382640911
31,1992,5470271607
32,1993,5556732311
33,1994,5642156981
34,1995,5726848893
35,1996,5811694918
36,1997,5896174827
37,1998,5979851049
38,1999,6062415429
39,2000,6144444748
40,2001,6226487141
41,2002,6308284566
42,2003,6389592840
43,2004,6471033757
44,2005,6552787172
45,2006,6635162568
46,2007,6717583637
47,2008,6801421733
48,2009,6885608628
49,2010,6969894715
50,2011,7053988749
51,2012,7141430933
52,2013,7229458453
53,2014,7317304568
54,2015,7404251118
55,2016,7490956237
56,2017,7577110140
57,2018,7661177849
58,2019,7742724795
59,2020,7821271846
60,2021,7888963821
61,2022,7951595433
