"","Date","World_Production (million of tons)"
"3",1962,63.8885
"4",1963,68.6043
"5",1964,73.7441
"6",1965,77.9499
"7",1966,83.8138
"8",1967,85.7491
"9",1968,92.4778
"10",1969,98.7091
"11",1970,102.5544
"12",1971,102.4296
"13",1972,107.9659
"14",1973,114.2414
"15",1974,117.2441
"16",1975,102.911273
"17",1976,112.5689
"18",1977,114.165
"19",1978,120.2241
"20",1979,125.683309
"21",1980,128.174217
"22",1981,127.930425
"23",1982,122.350217
"24",1983,130.075408
"25",1984,138.487008
"26",1985,140.4377
"27",1986,146.919108
"28",1987,156.194416
"29",1988,162.389508
"30",1989,166.6347
"31",1990,165.6096
"32",1991,166.799245
"33",1992,165.509784
"34",1993,165.601353
"35",1994,178.398256
"36",1995,183.036717
"37",1996,168.370735
"38",1997,177.880357
"39",1998,175.625665
"40",1999,177.199729
"41",2000,183.495612
"42",2001,175.437164
"43",2002,180.032179
"44",2003,182.754605
"45",2004,187.675841
"46",2005,188.605215
"47",2006,190.339857
"48",2007,196.160077
"49",2008,192.277538
"50",2009,173.883745
"51",2010,184.936684
"52",2011,186.920615
"53",2012,182.39688
"54",2013,180.670863
"55",2014,183.752272
"56",2015,183.941642
"57",2016,186.746584
"58",2017,188.35757
"59",2018,196.475972
"60",2019,192.914872
"61",2020,191.470468
"62",2021,196.740299
"63",2022,198.57062
